Vic_date,Agre_date,dateStore
2019-02-19 18:21:07.127108,2019-02-19 18:21:06.891688,2019-02-19 18:21:07.688160
2019-02-19 18:21:07.114193,2019-02-19 18:21:06.881798,2019-02-19 18:21:07.699889
2019-02-19 18:21:07.110301,2019-02-19 18:21:06.881284,2019-02-19 18:21:07.700427
2019-02-19 18:21:07.117144,2019-02-19 18:21:06.878467,2019-02-19 18:21:07.700929
2019-02-19 18:21:07.125803,2019-02-19 18:21:06.893813,2019-02-19 18:21:07.701464
2019-02-19 18:21:07.121158,2019-02-19 18:21:06.890189,2019-02-19 18:21:07.742715
2019-02-19 18:21:07.116914,2019-02-19 18:21:06.886021,2019-02-19 18:21:07.743447
2019-02-19 18:21:07.130726,2019-02-19 18:21:06.900312,2019-02-19 18:21:07.743967
2019-02-19 18:21:07.116474,2019-02-19 18:21:06.879401,2019-02-19 18:21:07.744449
2019-02-19 18:21:07.123472,2019-02-19 18:21:06.888060,2019-02-19 18:21:07.744954
2019-02-19 18:21:07.111368,2019-02-19 18:21:06.878005,2019-02-19 18:21:07.745512
2019-02-19 18:21:07.113718,2019-02-19 18:21:06.879909,2019-02-19 18:21:07.745997
2019-02-19 18:21:07.123887,2019-02-19 18:21:06.892674,2019-02-19 18:21:07.746492
2019-02-19 18:21:07.109108,2019-02-19 18:21:06.878931,2019-02-19 18:21:07.747014
2019-02-19 18:21:07.105318,2019-02-19 18:21:06.876395,2019-02-19 18:21:07.747509
2019-02-19 18:21:07.114653,2019-02-19 18:21:06.883655,2019-02-19 18:21:07.748023
2019-02-19 18:21:07.115072,2019-02-19 18:21:06.884533,2019-02-19 18:21:07.748528
2019-02-19 18:21:07.110753,2019-02-19 18:21:06.880374,2019-02-19 18:21:07.749044
2019-02-19 18:21:07.118639,2019-02-19 18:21:06.884053,2019-02-19 18:21:07.749523
2019-02-19 18:21:07.111899,2019-02-19 18:21:06.880787,2019-02-19 18:21:07.750002
2019-02-19 18:21:07.139411,2019-02-19 18:21:06.910652,2019-02-19 18:21:07.750500
2019-02-19 18:21:07.129770,2019-02-19 18:21:06.894689,2019-02-19 18:21:07.750986
2019-02-19 18:21:07.132977,2019-02-19 18:21:06.901725,2019-02-19 18:21:07.751476
2019-02-19 18:21:07.163891,2019-02-19 18:21:06.930656,2019-02-19 18:21:07.751955
2019-02-19 18:21:07.128022,2019-02-19 18:21:06.894259,2019-02-19 18:21:07.752432
2019-02-19 18:21:07.139879,2019-02-19 18:21:06.908017,2019-02-19 18:21:07.753069
2019-02-19 18:21:07.153085,2019-02-19 18:21:06.922351,2019-02-19 18:21:07.753589
2019-02-19 18:21:07.134478,2019-02-19 18:21:06.905794,2019-02-19 18:21:07.754072
2019-02-19 18:21:07.123017,2019-02-19 18:21:06.889738,2019-02-19 18:21:07.754546
2019-02-19 18:21:07.124802,2019-02-19 18:21:06.892205,2019-02-19 18:21:07.755018
2019-02-19 18:21:07.147890,2019-02-19 18:21:06.913704,2019-02-19 18:21:07.755499
2019-02-19 18:21:07.133497,2019-02-19 18:21:06.899828,2019-02-19 18:21:07.755971
2019-02-19 18:21:07.146541,2019-02-19 18:21:06.916333,2019-02-19 18:21:07.756442
2019-02-19 18:21:07.137718,2019-02-19 18:21:06.903648,2019-02-19 18:21:07.756942
2019-02-19 18:21:07.135394,2019-02-19 18:21:06.907131,2019-02-19 18:21:07.757445
2019-02-19 18:21:07.122569,2019-02-19 18:21:06.886523,2019-02-19 18:21:07.757919
2019-02-19 18:21:07.132062,2019-02-19 18:21:06.900876,2019-02-19 18:21:07.801690
2019-02-19 18:21:07.108289,2019-02-19 18:21:06.877162,2019-02-19 18:21:07.802474
2019-02-19 18:21:07.144202,2019-02-19 18:21:06.909673,2019-02-19 18:21:07.802942
2019-02-19 18:21:07.112609,2019-02-19 18:21:06.883196,2019-02-19 18:21:07.803425
2019-02-19 18:21:07.138166,2019-02-19 18:21:06.904569,2019-02-19 18:21:07.803903
2019-02-19 18:21:07.152568,2019-02-19 18:21:06.920175,2019-02-19 18:21:07.804395
2019-02-19 18:21:07.126691,2019-02-19 18:21:06.889282,2019-02-19 18:21:07.804894
2019-02-19 18:21:07.163480,2019-02-19 18:21:06.928055,2019-02-19 18:21:07.915415
2019-02-19 18:21:07.164727,2019-02-19 18:21:06.922762,2019-02-19 18:21:07.916271
2019-02-19 18:21:07.133915,2019-02-19 18:21:06.902762,2019-02-19 18:21:07.916763
