Vic_date,Agre_date,dateStore
2019-02-19 17:34:19.600887,2019-02-19 17:34:19.366250,2019-02-19 17:34:20.139984
2019-02-19 17:34:19.606389,2019-02-19 17:34:19.369366,2019-02-19 17:34:20.151684
2019-02-19 17:34:19.593128,2019-02-19 17:34:19.361703,2019-02-19 17:34:20.152241
2019-02-19 17:34:19.605983,2019-02-19 17:34:19.371057,2019-02-19 17:34:20.152730
2019-02-19 17:34:19.595168,2019-02-19 17:34:19.359921,2019-02-19 17:34:20.153259
2019-02-19 17:34:19.594644,2019-02-19 17:34:19.361271,2019-02-19 17:34:20.153757
2019-02-19 17:34:19.598493,2019-02-19 17:34:19.367122,2019-02-19 17:34:20.154241
2019-02-19 17:34:19.594214,2019-02-19 17:34:19.360793,2019-02-19 17:34:20.154730
2019-02-19 17:34:19.596087,2019-02-19 17:34:19.362124,2019-02-19 17:34:20.155217
2019-02-19 17:34:19.598061,2019-02-19 17:34:19.365810,2019-02-19 17:34:20.155694
2019-02-19 17:34:19.598978,2019-02-19 17:34:19.368861,2019-02-19 17:34:20.156178
2019-02-19 17:34:19.593751,2019-02-19 17:34:19.360364,2019-02-19 17:34:20.156666
2019-02-19 17:34:19.599506,2019-02-19 17:34:19.363607,2019-02-19 17:34:20.157176
2019-02-19 17:34:19.601819,2019-02-19 17:34:19.366689,2019-02-19 17:34:20.157694
2019-02-19 17:34:19.604569,2019-02-19 17:34:19.371484,2019-02-19 17:34:20.158186
2019-02-19 17:34:19.609397,2019-02-19 17:34:19.372318,2019-02-19 17:34:20.163461
2019-02-19 17:34:19.606937,2019-02-19 17:34:19.367990,2019-02-19 17:34:20.163983
2019-02-19 17:34:19.602647,2019-02-19 17:34:19.364680,2019-02-19 17:34:20.164485
2019-02-19 17:34:19.595652,2019-02-19 17:34:19.358743,2019-02-19 17:34:20.165004
2019-02-19 17:34:19.603686,2019-02-19 17:34:19.370639,2019-02-19 17:34:20.165554
2019-02-19 17:34:19.596513,2019-02-19 17:34:19.362582,2019-02-19 17:34:20.166026
2019-02-19 17:34:19.596935,2019-02-19 17:34:19.359426,2019-02-19 17:34:20.349336
2019-02-19 17:34:19.604151,2019-02-19 17:34:19.371897,2019-02-19 17:34:20.448047
2019-02-19 17:34:19.600453,2019-02-19 17:34:19.367572,2019-02-19 17:34:20.448956
2019-02-19 17:34:19.599995,2019-02-19 17:34:19.365282,2019-02-19 17:34:20.449523
2019-02-19 17:34:19.602237,2019-02-19 17:34:19.363048,2019-02-19 17:34:20.450024
2019-02-19 17:34:19.605118,2019-02-19 17:34:19.368411,2019-02-19 17:34:20.450531
2019-02-19 17:34:19.601347,2019-02-19 17:34:19.364074,2019-02-19 17:34:20.451010
2019-02-19 17:34:19.605552,2019-02-19 17:34:19.369795,2019-02-19 17:34:20.451537
2019-02-19 17:34:19.603178,2019-02-19 17:34:19.370218,2019-02-19 17:34:20.462896
2019-02-19 17:35:19.626845,2019-02-19 17:35:19.396348,2019-02-19 17:35:20.180918
2019-02-19 17:35:19.623634,2019-02-19 17:35:19.392970,2019-02-19 17:35:20.181783
2019-02-19 17:35:19.619582,2019-02-19 17:35:19.391183,2019-02-19 17:35:20.182280
2019-02-19 17:35:19.628481,2019-02-19 17:35:19.393905,2019-02-19 17:35:20.182805
