Vic_date,Agre_date,dateStore
2019-02-19 18:08:33.597665,2019-02-19 18:08:33.364870,2019-02-19 18:08:34.165809
2019-02-19 18:08:33.590093,2019-02-19 18:08:33.361386,2019-02-19 18:08:34.194183
2019-02-19 18:08:33.603676,2019-02-19 18:08:33.370293,2019-02-19 18:08:34.194941
2019-02-19 18:08:33.594365,2019-02-19 18:08:33.364393,2019-02-19 18:08:34.195441
2019-02-19 18:08:33.599346,2019-02-19 18:08:33.370820,2019-02-19 18:08:34.195946
2019-02-19 18:08:33.599781,2019-02-19 18:08:33.366921,2019-02-19 18:08:34.196429
2019-02-19 18:08:33.604092,2019-02-19 18:08:33.373788,2019-02-19 18:08:34.196918
2019-02-19 18:08:33.592334,2019-02-19 18:08:33.361846,2019-02-19 18:08:34.197453
2019-02-19 18:08:33.596289,2019-02-19 18:08:33.365438,2019-02-19 18:08:34.197939
2019-02-19 18:08:33.602338,2019-02-19 18:08:33.368343,2019-02-19 18:08:34.198563
2019-02-19 18:08:33.596753,2019-02-19 18:08:33.362402,2019-02-19 18:08:34.199049
2019-02-19 18:08:33.592801,2019-02-19 18:08:33.360181,2019-02-19 18:08:34.199528
2019-02-19 18:08:33.602786,2019-02-19 18:08:33.372630,2019-02-19 18:08:34.200020
2019-02-19 18:08:33.598899,2019-02-19 18:08:33.369324,2019-02-19 18:08:34.200502
2019-02-19 18:08:33.593593,2019-02-19 18:08:33.363324,2019-02-19 18:08:34.200977
2019-02-19 18:08:33.598439,2019-02-19 18:08:33.369773,2019-02-19 18:08:34.201475
2019-02-19 18:08:33.597244,2019-02-19 18:08:33.367854,2019-02-19 18:08:34.278984
2019-02-19 18:08:33.617282,2019-02-19 18:08:33.384356,2019-02-19 18:08:34.279867
2019-02-19 18:08:33.611981,2019-02-19 18:08:33.365985,2019-02-19 18:08:34.280356
2019-02-19 18:08:33.620394,2019-02-19 18:08:33.389283,2019-02-19 18:08:34.280849
2019-02-19 18:08:33.603228,2019-02-19 18:08:33.372149,2019-02-19 18:08:34.281360
2019-02-19 18:08:33.610690,2019-02-19 18:08:33.381785,2019-02-19 18:08:34.281867
2019-02-19 18:08:33.600857,2019-02-19 18:08:33.366474,2019-02-19 18:08:34.282359
2019-02-19 18:08:33.609304,2019-02-19 18:08:33.376209,2019-02-19 18:08:34.282856
2019-02-19 18:08:33.609867,2019-02-19 18:08:33.381280,2019-02-19 18:08:34.283357
2019-02-19 18:08:33.629373,2019-02-19 18:08:33.397608,2019-02-19 18:08:34.283858
2019-02-19 18:08:33.611106,2019-02-19 18:08:33.378279,2019-02-19 18:08:34.284341
2019-02-19 18:08:33.601382,2019-02-19 18:08:33.367415,2019-02-19 18:08:34.284824
2019-02-19 18:08:33.627233,2019-02-19 18:08:33.393750,2019-02-19 18:08:34.285322
2019-02-19 18:08:33.619540,2019-02-19 18:08:33.385294,2019-02-19 18:08:34.285809
2019-02-19 18:08:33.608494,2019-02-19 18:08:33.376668,2019-02-19 18:08:34.286287
2019-02-19 18:08:33.606677,2019-02-19 18:08:33.377313,2019-02-19 18:08:34.286779
2019-02-19 18:08:33.625909,2019-02-19 18:08:33.391484,2019-02-19 18:08:34.287266
2019-02-19 18:08:33.607559,2019-02-19 18:08:33.378689,2019-02-19 18:08:34.287747
2019-02-19 18:08:33.619984,2019-02-19 18:08:33.387392,2019-02-19 18:08:34.288233
2019-02-19 18:08:33.626351,2019-02-19 18:08:33.392750,2019-02-19 18:08:34.288730
2019-02-19 18:08:33.615969,2019-02-19 18:08:33.386559,2019-02-19 18:08:34.289251
2019-02-19 18:08:33.607969,2019-02-19 18:08:33.375176,2019-02-19 18:08:34.289762
2019-02-19 18:08:33.617736,2019-02-19 18:08:33.384770,2019-02-19 18:08:34.290239
2019-02-19 18:08:33.618659,2019-02-19 18:08:33.385718,2019-02-19 18:08:34.290742
2019-02-19 18:08:33.633377,2019-02-19 18:08:33.401244,2019-02-19 18:08:34.379274
2019-02-19 18:08:33.623913,2019-02-19 18:08:33.394160,2019-02-19 18:08:34.380187
2019-02-19 18:08:33.633787,2019-02-19 18:08:33.389716,2019-02-19 18:08:34.380687
2019-02-19 18:08:33.605276,2019-02-19 18:08:33.373243,2019-02-19 18:08:34.381218
2019-02-19 18:08:33.615449,2019-02-19 18:08:33.380238,2019-02-19 18:08:34.381704
