Vic_date,Agre_date,dateStore
2019-02-19 13:55:43.581270,2019-02-19 13:55:43.350806,2019-02-19 13:55:44.178967
2019-02-19 13:55:43.621953,2019-02-19 13:55:43.389905,2019-02-19 13:55:44.275200
2019-02-19 13:55:43.594076,2019-02-19 13:55:43.365700,2019-02-19 13:55:44.276115
2019-02-19 13:55:43.652678,2019-02-19 13:55:43.415712,2019-02-19 13:55:44.276660
2019-02-19 13:55:43.644029,2019-02-19 13:55:43.410016,2019-02-19 13:55:44.277170
2019-02-19 13:55:43.602039,2019-02-19 13:55:43.372222,2019-02-19 13:55:44.277657
2019-02-19 13:55:43.625282,2019-02-19 13:55:43.394877,2019-02-19 13:55:44.278158
2019-02-19 13:55:43.589836,2019-02-19 13:55:43.358847,2019-02-19 13:55:44.278665
2019-02-19 13:55:43.609180,2019-02-19 13:55:43.376846,2019-02-19 13:55:44.279173
2019-02-19 13:55:43.592551,2019-02-19 13:55:43.361381,2019-02-19 13:55:44.279649
2019-02-19 13:55:43.639151,2019-02-19 13:55:43.408155,2019-02-19 13:55:44.280133
2019-02-19 13:55:43.596903,2019-02-19 13:55:43.367136,2019-02-19 13:55:44.280608
2019-02-19 13:55:43.597844,2019-02-19 13:55:43.366162,2019-02-19 13:55:44.281104
2019-02-19 13:55:43.619636,2019-02-19 13:55:43.389464,2019-02-19 13:55:44.281589
2019-02-19 13:55:43.585609,2019-02-19 13:55:43.356204,2019-02-19 13:55:44.282073
2019-02-19 13:55:43.606783,2019-02-19 13:55:43.376391,2019-02-19 13:55:44.282561
2019-02-19 13:55:43.595487,2019-02-19 13:55:43.366660,2019-02-19 13:55:44.283036
2019-02-19 13:55:43.626654,2019-02-19 13:55:43.396204,2019-02-19 13:55:44.283537
2019-02-19 13:55:43.598354,2019-02-19 13:55:43.369913,2019-02-19 13:55:44.284039
2019-02-19 13:55:43.615183,2019-02-19 13:55:43.382932,2019-02-19 13:55:44.284516
2019-02-19 13:55:43.612245,2019-02-19 13:55:43.380851,2019-02-19 13:55:44.284992
2019-02-19 13:55:43.589413,2019-02-19 13:55:43.355170,2019-02-19 13:55:44.285530
2019-02-19 13:55:43.584647,2019-02-19 13:55:43.355696,2019-02-19 13:55:44.286027
2019-02-19 13:55:43.590284,2019-02-19 13:55:43.357853,2019-02-19 13:55:44.286526
2019-02-19 13:55:43.646825,2019-02-19 13:55:43.412632,2019-02-19 13:55:44.287009
2019-02-19 13:55:43.593534,2019-02-19 13:55:43.363276,2019-02-19 13:55:44.287499
2019-02-19 13:55:43.604378,2019-02-19 13:55:43.375407,2019-02-19 13:55:44.287984
2019-02-19 13:55:43.598808,2019-02-19 13:55:43.364972,2019-02-19 13:55:44.288469
2019-02-19 13:55:43.591695,2019-02-19 13:55:43.357271,2019-02-19 13:55:44.288969
2019-02-19 13:55:43.584186,2019-02-19 13:55:43.354646,2019-02-19 13:55:44.289476
2019-02-19 13:55:43.629272,2019-02-19 13:55:43.399820,2019-02-19 13:55:44.289954
2019-02-19 13:55:43.591272,2019-02-19 13:55:43.361899,2019-02-19 13:55:44.290431
2019-02-19 13:55:43.585124,2019-02-19 13:55:43.352202,2019-02-19 13:55:44.290916
2019-02-19 13:55:43.590776,2019-02-19 13:55:43.359781,2019-02-19 13:55:44.291400
2019-02-19 13:55:43.638694,2019-02-19 13:55:43.406794,2019-02-19 13:55:44.291880
2019-02-19 13:55:43.588342,2019-02-19 13:55:43.356636,2019-02-19 13:55:44.292393
2019-02-19 13:55:43.580233,2019-02-19 13:55:43.351697,2019-02-19 13:55:44.292904
2019-02-19 13:55:43.580786,2019-02-19 13:55:43.349794,2019-02-19 13:55:44.293434
2019-02-19 13:55:43.616088,2019-02-19 13:55:43.386655,2019-02-19 13:55:44.293931
