Vic_date,Agre_date,dateStore
2019-02-19 18:45:36.713712,2019-02-19 18:45:36.482058,2019-02-19 18:45:37.328002
2019-02-19 18:45:36.747412,2019-02-19 18:45:36.514872,2019-02-19 18:45:37.339396
2019-02-19 18:45:36.748303,2019-02-19 18:45:36.519427,2019-02-19 18:45:37.339971
2019-02-19 18:45:36.723390,2019-02-19 18:45:36.491248,2019-02-19 18:45:37.340468
2019-02-19 18:45:36.717770,2019-02-19 18:45:36.486760,2019-02-19 18:45:37.340967
2019-02-19 18:45:36.739137,2019-02-19 18:45:36.506772,2019-02-19 18:45:37.341514
2019-02-19 18:45:36.726170,2019-02-19 18:45:36.496822,2019-02-19 18:45:37.341995
2019-02-19 18:45:36.710998,2019-02-19 18:45:36.482584,2019-02-19 18:45:37.342480
2019-02-19 18:45:36.743226,2019-02-19 18:45:36.509290,2019-02-19 18:45:37.342993
2019-02-19 18:45:36.727007,2019-02-19 18:45:36.493282,2019-02-19 18:45:37.343472
2019-02-19 18:45:36.710533,2019-02-19 18:45:36.478932,2019-02-19 18:45:37.343985
2019-02-19 18:45:36.709261,2019-02-19 18:45:36.476817,2019-02-19 18:45:37.344482
2019-02-19 18:45:36.727862,2019-02-19 18:45:36.499417,2019-02-19 18:45:37.344984
2019-02-19 18:45:36.749652,2019-02-19 18:45:36.519847,2019-02-19 18:45:37.345519
2019-02-19 18:45:36.707385,2019-02-19 18:45:36.478491,2019-02-19 18:45:37.346062
2019-02-19 18:45:36.722015,2019-02-19 18:45:36.490690,2019-02-19 18:45:37.346588
2019-02-19 18:45:36.712255,2019-02-19 18:45:36.483085,2019-02-19 18:45:37.347095
2019-02-19 18:45:36.705590,2019-02-19 18:45:36.474604,2019-02-19 18:45:37.347618
2019-02-19 18:45:36.713265,2019-02-19 18:45:36.480480,2019-02-19 18:45:37.348127
2019-02-19 18:45:36.742734,2019-02-19 18:45:36.514431,2019-02-19 18:45:37.348654
2019-02-19 18:45:36.716348,2019-02-19 18:45:36.484137,2019-02-19 18:45:37.349205
2019-02-19 18:45:36.711429,2019-02-19 18:45:36.481004,2019-02-19 18:45:37.349717
2019-02-19 18:45:36.714136,2019-02-19 18:45:36.483603,2019-02-19 18:45:37.350212
2019-02-19 18:45:36.707913,2019-02-19 18:45:36.477459,2019-02-19 18:45:37.350703
