Vic_date,dateStore
2019-02-19 17:11:09.512515,2019-02-19 17:11:09.762699
2019-02-19 17:11:10.251609,2019-02-19 17:11:10.494040
2019-02-19 17:11:10.974357,2019-02-19 17:11:11.221451
2019-02-19 17:11:11.699618,2019-02-19 17:11:11.944993
2019-02-19 17:11:12.425977,2019-02-19 17:11:12.672001
2019-02-19 17:11:13.149688,2019-02-19 17:11:13.396153
2019-02-19 17:11:13.880382,2019-02-19 17:11:14.126162
2019-02-19 17:11:14.605532,2019-02-19 17:11:14.850704
2019-02-19 17:11:15.329829,2019-02-19 17:11:15.577766
2019-02-19 17:11:16.062569,2019-02-19 17:11:16.310532
2019-02-19 17:11:16.785107,2019-02-19 17:11:17.033509
2019-02-19 17:11:17.507061,2019-02-19 17:11:17.749654
2019-02-19 17:11:18.222287,2019-02-19 17:11:18.467678
2019-02-19 17:11:18.946577,2019-02-19 17:11:19.191321
2019-02-19 17:11:19.670533,2019-02-19 17:11:19.918856
2019-02-19 17:11:20.402885,2019-02-19 17:11:20.645316
2019-02-19 17:11:21.125384,2019-02-19 17:11:21.368776
2019-02-19 17:11:21.854929,2019-02-19 17:11:22.098936
2019-02-19 17:11:22.582551,2019-02-19 17:11:22.822247
2019-02-19 17:11:23.297053,2019-02-19 17:11:23.541831
2019-02-19 17:11:24.015866,2019-02-19 17:11:24.261306
2019-02-19 17:11:24.731776,2019-02-19 17:11:24.975649
2019-02-19 17:11:25.452803,2019-02-19 17:11:25.693655
2019-02-19 17:11:26.169659,2019-02-19 17:11:26.409562
2019-02-19 17:11:26.883927,2019-02-19 17:11:27.128473
2019-02-19 17:11:27.606271,2019-02-19 17:11:27.851812
2019-02-19 17:11:28.339667,2019-02-19 17:11:28.586470
2019-02-19 17:11:29.066087,2019-02-19 17:11:29.306875
2019-02-19 17:11:29.780882,2019-02-19 17:11:30.022190
2019-02-19 17:11:30.494011,2019-02-19 17:11:30.743348
2019-02-19 17:11:31.231817,2019-02-19 17:11:31.475077
2019-02-19 17:11:31.950363,2019-02-19 17:11:32.191954
2019-02-19 17:11:32.669029,2019-02-19 17:11:32.910703
2019-02-19 17:11:33.384759,2019-02-19 17:11:33.626967
2019-02-19 17:11:34.104924,2019-02-19 17:11:34.354830
2019-02-19 17:11:34.830550,2019-02-19 17:11:35.073477
2019-02-19 17:11:35.554710,2019-02-19 17:11:35.800899
2019-02-19 17:11:36.274323,2019-02-19 17:11:36.516613
2019-02-19 17:11:36.996580,2019-02-19 17:11:37.239145
2019-02-19 17:11:37.715257,2019-02-19 17:11:37.959317
2019-02-19 17:11:38.439088,2019-02-19 17:11:38.686932
2019-02-19 17:11:39.162526,2019-02-19 17:11:39.408717
2019-02-19 17:11:39.879432,2019-02-19 17:11:40.124432
2019-02-19 17:11:40.599053,2019-02-19 17:11:40.843153
2019-02-19 17:11:41.322967,2019-02-19 17:11:41.566701
2019-02-19 17:11:42.044098,2019-02-19 17:11:42.291250
2019-02-19 17:11:42.774227,2019-02-19 17:11:43.023182
2019-02-19 17:11:43.500686,2019-02-19 17:11:43.745470
2019-02-19 17:11:44.231540,2019-02-19 17:11:44.476028
2019-02-19 17:11:44.955074,2019-02-19 17:11:45.204218
2019-02-19 17:11:45.699018,2019-02-19 17:11:45.944578
2019-02-19 17:11:46.423495,2019-02-19 17:11:46.669774
2019-02-19 17:11:47.147446,2019-02-19 17:11:47.391825
2019-02-19 17:11:47.867134,2019-02-19 17:11:48.111311
2019-02-19 17:11:48.583221,2019-02-19 17:11:48.829569
2019-02-19 17:11:49.307169,2019-02-19 17:11:49.555475
2019-02-19 17:11:50.037063,2019-02-19 17:11:50.281899
2019-02-19 17:11:50.766893,2019-02-19 17:11:51.009482
2019-02-19 17:11:51.488743,2019-02-19 17:11:51.739008
