Vic_date,dateStore
2019-02-19 16:59:42.033291,2019-02-19 16:59:42.284293
2019-02-19 16:59:42.767610,2019-02-19 16:59:43.013073
2019-02-19 16:59:43.495703,2019-02-19 16:59:43.743080
2019-02-19 16:59:44.222693,2019-02-19 16:59:44.466377
2019-02-19 16:59:44.943982,2019-02-19 16:59:45.194897
2019-02-19 16:59:45.675100,2019-02-19 16:59:45.915340
2019-02-19 16:59:46.393170,2019-02-19 16:59:46.639876
2019-02-19 16:59:47.115762,2019-02-19 16:59:47.363985
2019-02-19 16:59:47.840438,2019-02-19 16:59:48.086877
2019-02-19 16:59:48.566330,2019-02-19 16:59:48.808447
2019-02-19 16:59:49.282289,2019-02-19 16:59:49.527373
2019-02-19 16:59:50.001237,2019-02-19 16:59:50.245428
2019-02-19 16:59:50.718218,2019-02-19 16:59:50.963770
2019-02-19 16:59:51.443219,2019-02-19 16:59:51.687156
2019-02-19 16:59:52.167187,2019-02-19 16:59:52.415816
2019-02-19 16:59:52.886884,2019-02-19 16:59:53.131538
2019-02-19 16:59:53.609750,2019-02-19 16:59:53.850905
2019-02-19 16:59:54.326563,2019-02-19 16:59:54.566752
2019-02-19 16:59:55.043870,2019-02-19 16:59:55.287291
2019-02-19 16:59:55.761467,2019-02-19 16:59:56.004364
2019-02-19 16:59:56.479693,2019-02-19 16:59:56.727787
2019-02-19 16:59:57.207995,2019-02-19 16:59:57.459236
2019-02-19 16:59:57.930298,2019-02-19 16:59:58.173557
2019-02-19 16:59:58.653472,2019-02-19 16:59:58.900516
2019-02-19 16:59:59.377209,2019-02-19 16:59:59.623704
2019-02-19 17:00:00.101931,2019-02-19 17:00:00.349353
2019-02-19 17:00:00.829075,2019-02-19 17:00:01.077237
2019-02-19 17:00:01.567974,2019-02-19 17:00:01.809461
2019-02-19 17:00:02.289618,2019-02-19 17:00:02.534265
2019-02-19 17:00:03.012943,2019-02-19 17:00:03.254591
2019-02-19 17:00:03.728028,2019-02-19 17:00:03.968875
2019-02-19 17:00:04.440642,2019-02-19 17:00:04.685954
2019-02-19 17:00:05.160651,2019-02-19 17:00:05.405225
2019-02-19 17:00:05.883384,2019-02-19 17:00:06.131100
2019-02-19 17:00:06.609574,2019-02-19 17:00:06.856164
