Vic_date,dateStore
2019-02-19 15:46:22.160741,2019-02-19 15:46:22.407181
2019-02-19 15:46:22.895104,2019-02-19 15:46:23.136087
2019-02-19 15:46:23.613358,2019-02-19 15:46:23.861749
2019-02-19 15:46:24.338368,2019-02-19 15:46:24.582764
2019-02-19 15:46:25.072291,2019-02-19 15:46:25.316772
2019-02-19 15:46:25.798450,2019-02-19 15:46:26.049958
2019-02-19 15:46:26.526196,2019-02-19 15:46:26.770889
2019-02-19 15:46:27.253044,2019-02-19 15:46:27.496047
2019-02-19 15:46:27.970082,2019-02-19 15:46:28.215514
2019-02-19 15:46:28.688305,2019-02-19 15:46:28.932101
2019-02-19 15:46:29.409734,2019-02-19 15:46:29.653194
2019-02-19 15:46:30.128678,2019-02-19 15:46:30.370111
2019-02-19 15:46:30.848722,2019-02-19 15:46:31.095688
2019-02-19 15:46:31.574392,2019-02-19 15:46:31.825952
2019-02-19 15:46:32.304519,2019-02-19 15:46:32.551908
2019-02-19 15:46:33.029509,2019-02-19 15:46:33.275668
2019-02-19 15:46:33.756034,2019-02-19 15:46:34.004055
2019-02-19 15:46:34.483431,2019-02-19 15:46:34.722567
2019-02-19 15:46:35.200325,2019-02-19 15:46:35.449941
2019-02-19 15:46:35.926104,2019-02-19 15:46:36.172531
2019-02-19 15:46:36.650797,2019-02-19 15:46:36.893146
2019-02-19 15:46:37.371464,2019-02-19 15:46:37.614096
2019-02-19 15:46:38.090727,2019-02-19 15:46:38.336110
2019-02-19 15:46:38.819167,2019-02-19 15:46:39.076165
2019-02-19 15:46:39.554563,2019-02-19 15:46:39.798471
2019-02-19 15:46:40.277417,2019-02-19 15:46:40.525373
2019-02-19 15:46:41.003161,2019-02-19 15:46:41.251000
2019-02-19 15:46:41.728673,2019-02-19 15:46:41.976098
2019-02-19 15:46:42.448603,2019-02-19 15:46:42.695471
2019-02-19 15:46:43.167309,2019-02-19 15:46:43.408498
2019-02-19 15:46:43.881922,2019-02-19 15:46:44.126668
2019-02-19 15:46:44.604775,2019-02-19 15:46:44.851852
2019-02-19 15:46:45.323862,2019-02-19 15:46:45.565969
2019-02-19 15:46:46.045756,2019-02-19 15:46:46.296120
2019-02-19 15:46:46.771589,2019-02-19 15:46:47.016885
2019-02-19 15:46:47.491156,2019-02-19 15:46:47.739582
2019-02-19 15:46:48.218665,2019-02-19 15:46:48.462861
2019-02-19 15:46:48.940544,2019-02-19 15:46:49.189950
2019-02-19 15:46:49.667473,2019-02-19 15:46:49.915004
2019-02-19 15:46:50.394937,2019-02-19 15:46:50.642486
2019-02-19 15:46:51.115882,2019-02-19 15:46:51.361138
2019-02-19 15:46:51.837576,2019-02-19 15:46:52.084930
2019-02-19 15:46:52.566612,2019-02-19 15:46:52.810756
2019-02-19 15:46:53.287125,2019-02-19 15:46:53.535378
2019-02-19 15:46:54.013319,2019-02-19 15:46:54.256916
2019-02-19 15:46:54.730714,2019-02-19 15:46:54.972490
2019-02-19 15:46:55.455079,2019-02-19 15:46:55.704774
2019-02-19 15:46:56.178691,2019-02-19 15:46:56.421084
2019-02-19 15:46:56.900775,2019-02-19 15:46:57.145972
